station_id,station_name,lat,lng,corridor,corridor_type,station_role,is_terminal,is_interchange,station_importance,busy_factor,route_overlap_count,transfer_score,land_use_type,near_market,near_business_district,timestamp_utc,hour,day_of_week,is_weekend,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,traffic_confidence,traffic_pressure,temperature_2m,precipitation,rain,cloud_cover,crowd_score,label
abule_oja_2,Abule Oja,6.51703,3.381541,General,local,standard,0,0,3,0.48,1,2,market,1,0,2026-03-26T00:22:47.323426+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.09360000000000002,flowing
new_hall,New Hall,6.519029,3.392297,General,local,standard,0,0,3,0.5,1,2,education,0,0,2026-03-26T00:22:49.898770+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
iju_train_station,Iju Train Station,6.6610851,3.3200146,General,local,terminal,1,0,3,0.52,3,5,mixed,0,0,2026-03-26T00:22:52.855176+00:00,1,3,0,49.0,49.0,1457.0,1457.0,1.0,0.0,27.7,0.0,0.0,100.0,0.22240000000000004,flowing
okesuna,Okesuna,6.533609999999999,3.379921,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:22:55.275502+00:00,1,3,0,55.0,55.0,663.0,663.0,1.0,0.0,28.4,0.0,0.0,100.0,0.038000000000000006,flowing
yabatech_main_gate,Yabatech Main Gate,6.519164,3.371761,General,secondary,standard,0,0,3,0.5,1,2,education,0,0,2026-03-26T00:22:57.872473+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.4,0.0,0.0,100.0,0.038000000000000006,flowing
abidoun,Abidoun,6.499777,3.388271,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:23:00.347448+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
mushin,Mushin,6.529851699999998,3.353364999999999,General,local,interchange,0,1,4,0.6,3,5,market,1,0,2026-03-26T00:23:03.666809+00:00,1,3,0,44.0,44.0,788.0,788.0,1.0,0.0,28.4,0.0,0.0,100.0,0.28,flowing
olosha_bus_stop,Olosha Bus Stop,6.526432,3.358003,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:23:08.012874+00:00,1,3,0,42.0,42.0,1276.0,1276.0,1.0,0.0,28.4,0.0,0.0,100.0,0.038000000000000006,flowing
jibowu_bus_stop,Jibowu Bus Stop,6.519979999999999,3.367309,General,local,interchange,0,1,3,0.56,3,5,mixed,0,0,2026-03-26T00:23:11.951406+00:00,1,3,0,52.0,52.0,1177.0,1177.0,1.0,0.0,28.4,0.0,0.0,100.0,0.21120000000000005,flowing
ayilara,Ayilara,6.510533000000001,3.36117,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:23:16.308887+00:00,1,3,0,52.0,52.0,1177.0,1177.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
alagomeji,Alagomeji,6.499767,3.378309,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:23:19.453785+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
alagomeji_bus_station,Alagomeji Bus Station,6.4997771,3.3781725,General,local,terminal,1,0,3,0.5,3,5,mixed,0,0,2026-03-26T00:23:23.472382+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.21800000000000003,flowing
onipanu,Onipanu,6.532926000000001,3.367368,General,secondary,interchange,0,1,3,0.56,3,5,mixed,0,0,2026-03-26T00:23:26.965877+00:00,1,3,0,55.0,55.0,663.0,663.0,1.0,0.0,28.4,0.0,0.0,100.0,0.21120000000000005,flowing
onipanu_2,Onipanu,6.532806000000001,3.3671,General,secondary,interchange,0,1,3,0.56,3,5,mixed,0,0,2026-03-26T00:23:29.923856+00:00,1,3,0,52.0,52.0,1177.0,1177.0,1.0,0.0,28.4,0.0,0.0,100.0,0.21120000000000005,flowing
palmgrove_bariga,Palmgrove Bariga,6.541820999999999,3.368328,General,secondary,interchange,0,1,3,0.55,3,5,residential,0,0,2026-03-26T00:23:33.212054+00:00,1,3,0,55.0,55.0,663.0,663.0,1.0,0.0,28.4,0.0,0.0,100.0,0.20900000000000002,flowing
igbobi,Igbobi,6.530229,3.367605,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:23:36.758943+00:00,1,3,0,55.0,55.0,663.0,663.0,1.0,0.0,28.4,0.0,0.0,100.0,0.038000000000000006,flowing
charly_boy_bus_stop,Charly Boy Bus Stop,6.548371899999999,3.3787432,General,local,interchange,0,1,3,0.5,3,5,mixed,0,0,2026-03-26T00:23:39.859484+00:00,1,3,0,71.0,71.0,330.0,330.0,1.0,0.0,28.5,0.0,0.0,100.0,0.198,flowing
unilag_shuttle_bariga,Unilag Shuttle Bariga,6.534617999999999,3.391877999999999,General,local,standard,0,0,3,0.5,1,2,education,0,0,2026-03-26T00:23:42.443275+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
idi_araba,Idi Araba,6.516742,3.354085,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:23:45.548317+00:00,1,3,0,44.0,44.0,788.0,788.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
underbridge_mosalashi,Underbridge (Mosalashi),6.517128,3.368726,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:23:48.255073+00:00,1,3,0,55.0,55.0,663.0,663.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
yaba_station,Yaba Station,6.510681999999999,3.370865999999999,General,secondary,interchange,0,1,4,0.65,3,5,mixed,0,0,2026-03-26T00:23:51.873178+00:00,1,3,0,49.0,49.0,1263.0,1263.0,0.565223,0.0,28.5,0.0,0.0,100.0,0.23100000000000004,flowing
ojuelegba,Ojuelegba,6.511566999999999,3.363344999999999,General,primary,interchange,0,1,4,0.62,3,5,mixed,0,0,2026-03-26T00:23:54.558443+00:00,1,3,0,52.0,52.0,1177.0,1177.0,1.0,0.0,28.5,0.0,0.0,100.0,0.2244,flowing
muritala,Muritala,6.543013999999999,3.393567999999999,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:23:57.354858+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
nsik_motors_limited_aktc_ojuelegba,"Nsik Motors Limited (Aktc), Ojuelegba",6.510032000000001,3.3623336,General,primary,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:24:00.127979+00:00,1,3,0,52.0,52.0,1177.0,1177.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
church,Church,6.530596999999999,3.378789,General,local,standard,0,0,3,0.5,1,2,residential,0,0,2026-03-26T00:24:03.408712+00:00,1,3,0,55.0,55.0,663.0,663.0,1.0,0.0,28.4,0.0,0.0,100.0,0.038000000000000006,flowing
unilag_gate_akoka_road,Unilag Gate (Akoka Road),6.517867000000001,3.384795,General,local,standard,0,0,3,0.5,1,2,education,0,0,2026-03-26T00:24:06.458034+00:00,1,3,0,44.0,44.0,788.0,788.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
obanikoro,Obanikoro,6.546717999999998,3.367314,General,secondary,interchange,0,1,3,0.57,3,5,mixed,0,0,2026-03-26T00:24:08.910595+00:00,1,3,0,55.0,55.0,663.0,663.0,1.0,0.0,28.4,0.0,0.0,100.0,0.21339999999999998,flowing
sungas,Sungas,6.535856999999999,3.38897,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:24:11.496613+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
ojuelegba_bus_station,Ojuelegba Bus Station,6.510317,3.3626533,General,primary,terminal,1,1,4,0.62,3,5,mixed,0,0,2026-03-26T00:24:14.365282+00:00,1,3,0,52.0,52.0,1177.0,1177.0,1.0,0.0,28.5,0.0,0.0,100.0,0.3244,flowing
mfm_gate,Mfm Gate,6.509885,3.385634,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:24:17.086859+00:00,1,3,0,74.0,74.0,996.0,996.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
alade_bus_stop,Alade Bus Stop,6.6019546,3.3538821,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:24:19.893449+00:00,1,3,0,37.0,37.0,363.0,363.0,1.0,0.0,27.8,0.0,0.0,100.0,0.038000000000000006,flowing
ibidun,Ibidun,6.51072,3.360529999999999,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:24:23.071345+00:00,1,3,0,52.0,52.0,1177.0,1177.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
st_finbarrs,St Finbarrs,6.522098,3.385506,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:24:25.680084+00:00,1,3,0,55.0,55.0,663.0,663.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
unilag,Unilag,6.517568199999999,3.3855674,General,local,standard,0,0,3,0.5,1,2,education,0,0,2026-03-26T00:24:28.290324+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
gbagada_2,Gbagada,6.5491486,3.3881944,General,secondary,interchange,0,1,3,0.58,3,5,mixed,0,0,2026-03-26T00:24:30.998089+00:00,1,3,0,71.0,71.0,325.0,325.0,1.0,0.0,28.5,0.0,0.0,100.0,0.2156,flowing
fadeyi_bus_stop,Fadeyi Bus Stop,6.522983799999999,3.3678074,General,secondary,interchange,0,1,3,0.54,3,5,mixed,0,0,2026-03-26T00:24:34.331861+00:00,1,3,0,55.0,55.0,663.0,663.0,1.0,0.0,28.4,0.0,0.0,100.0,0.20680000000000004,flowing
ojuelegba_2,Ojuelegba,6.510960600000001,3.362959,General,primary,interchange,0,1,4,0.62,3,5,mixed,0,0,2026-03-26T00:24:37.252872+00:00,1,3,0,52.0,52.0,1177.0,1177.0,1.0,0.0,28.5,0.0,0.0,100.0,0.2244,flowing
